Case    |No      |Elem    |    F_A(t)  
    101.|      3.|     70.|      -46.58
    101.|      4.|     70.|      -46.58
    101.|      5.|     70.|      -46.58
    101.|      6.|     70.|      -46.58
    102.|      1.|    138.|       52.50
    102.|      2.|    110.|      -32.01
    102.|      3.|     70.|      -47.13
    102.|      4.|     70.|      -47.13
    102.|      5.|     70.|      -47.13
    102.|      6.|     70.|      -47.13
    103.|      1.|    138.|       51.59
    103.|      2.|    110.|      -31.90
    103.|      3.|     70.|      -47.67
    103.|      4.|     70.|      -47.67
    103.|      5.|     70.|      -47.67
    103.|      6.|     70.|      -47.67
    104.|      1.|    138.|       50.68
    104.|      2.|    110.|      -31.79
    104.|      3.|     70.|      -48.20
    104.|      4.|     70.|      -48.20
    104.|      5.|     70.|      -48.20
    104.|      6.|     70.|      -48.20
    105.|      1.|    138.|       49.74
    105.|      2.|    110.|      -31.67
    105.|      3.|     70.|      -48.71
    105.|      4.|     70.|      -48.71
    105.|      5.|     70.|      -48.71
    105.|      6.|     70.|      -48.71
    106.|      1.|    138.|       48.79
    106.|      2.|    110.|      -31.54
    106.|      3.|     70.|      -49.20
    106.|      4.|     70.|      -49.20
    106.|      5.|     70.|      -49.20
    106.|      6.|     70.|      -49.20
    107.|      1.|    138.|       47.83
    107.|      2.|    110.|      -31.40
    107.|      3.|     70.|      -49.69
    107.|      4.|     70.|      -49.69
    107.|      5.|     70.|      -49.69
    107.|      6.|     70.|      -49.69
    108.|      1.|    138.|       46.85
    108.|      2.|    110.|      -31.25
    108.|      3.|     70.|      -50.15
    108.|      4.|     70.|      -50.15
    108.|      5.|     70.|      -50.15
    108.|      6.|     70.|      -50.15
    109.|      1.|    138.|       45.86
    109.|      2.|    110.|      -31.09
    109.|      3.|     70.|      -50.60
    109.|      4.|     70.|      -50.60
    109.|      5.|     70.|      -50.60
    109.|      6.|     70.|      -50.60
    110.|      1.|    138.|       44.85
    110.|      2.|    110.|      -30.92
    110.|      3.|     70.|      -51.03
    110.|      4.|     70.|      -51.03
    110.|      5.|     70.|      -51.03
    110.|      6.|     70.|      -51.03
    111.|      1.|    138.|       43.83
    111.|      2.|    110.|      -30.74
    111.|      3.|     70.|      -51.45
    111.|      4.|     70.|      -51.45
    111.|      5.|     70.|      -51.45
    111.|      6.|     70.|      -51.45
    112.|      1.|    138.|       42.80
    112.|      2.|    110.|      -30.55
    112.|      3.|     70.|      -51.86
    112.|      4.|     70.|      -51.86
    112.|      5.|     70.|      -51.86
    112.|      6.|     70.|      -51.86
    113.|      1.|    138.|       41.75
    113.|      2.|    110.|      -30.35
    113.|      3.|     70.|      -52.24
    113.|      4.|     70.|      -52.24
    113.|      5.|     70.|      -52.24
    113.|      6.|     70.|      -52.24
    114.|      1.|    138.|       40.69
    114.|      2.|    110.|      -30.14
    114.|      3.|     70.|      -52.62
    114.|      4.|     70.|      -52.62
    114.|      5.|     70.|      -52.62
    114.|      6.|     70.|      -52.62
    115.|      1.|    138.|       39.62
    115.|      2.|    110.|      -29.93
    115.|      3.|     70.|      -52.97
    115.|      4.|     70.|      -52.97
    115.|      5.|     70.|      -52.97
    115.|      6.|     70.|      -52.97
    116.|      1.|    138.|       38.53
    116.|      2.|    110.|      -29.70
    116.|      3.|     70.|      -53.31
    116.|      4.|     70.|      -53.31
    116.|      5.|     70.|      -53.31
    116.|      6.|     70.|      -53.31
    117.|      1.|    138.|       37.44
    117.|      2.|    110.|      -29.47
    117.|      3.|     70.|      -53.63
    117.|      4.|     70.|      -53.63
    117.|      5.|     70.|      -53.63
    117.|      6.|     70.|      -53.63
