Case    |No      |Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
     24.|      5.|    122.|       -0.74|       11.70|        1.65|        0.00|        0.00|        0.00
     24.|      6.|    122.|       -0.74|       11.70|        1.65|        0.00|        0.00|        0.00
     25.|      1.|    249.|      -27.70|       55.20|        1.16|        0.00|        0.00|        0.00
     25.|      2.|    122.|       -1.58|       10.58|        1.65|        0.00|        0.00|        0.00
     25.|      3.|    122.|       -1.58|       10.58|        1.65|        0.00|        0.00|        0.00
     25.|      4.|    122.|       -1.58|       10.58|        1.65|        0.00|        0.00|        0.00
     25.|      5.|    122.|       -1.58|       10.58|        1.65|        0.00|        0.00|        0.00
     25.|      6.|    122.|       -1.58|       10.58|        1.65|        0.00|        0.00|        0.00
     26.|      1.|    249.|      -28.01|       55.81|        1.16|        0.00|        0.00|        0.00
     26.|      2.|    122.|       -2.42|        9.44|        1.65|        0.00|        0.00|        0.00
     26.|      3.|    122.|       -2.42|        9.44|        1.65|        0.00|        0.00|        0.00
     26.|      4.|    122.|       -2.42|        9.44|        1.65|        0.00|        0.00|        0.00
     26.|      5.|    122.|       -2.42|        9.44|        1.65|        0.00|        0.00|        0.00
     26.|      6.|    122.|       -2.42|        9.44|        1.65|        0.00|        0.00|        0.00
     27.|      1.|    249.|      -28.30|       56.40|        1.16|        0.00|        0.00|        0.00
     27.|      2.|    122.|       -3.26|        8.31|        1.65|        0.00|        0.00|        0.00
     27.|      3.|    122.|       -3.26|        8.31|        1.65|        0.00|        0.00|        0.00
     27.|      4.|    122.|       -3.26|        8.31|        1.65|        0.00|        0.00|        0.00
     27.|      5.|    122.|       -3.26|        8.31|        1.65|        0.00|        0.00|        0.00
     27.|      6.|    122.|       -3.26|        8.31|        1.65|        0.00|        0.00|        0.00
     28.|      1.|    249.|      -28.59|       56.98|        1.16|        0.00|        0.00|        0.00
     28.|      2.|    122.|       -4.10|        7.17|        1.65|        0.00|        0.00|        0.00
     28.|      3.|    122.|       -4.10|        7.17|        1.65|        0.00|        0.00|        0.00
     28.|      4.|    122.|       -4.10|        7.17|        1.65|        0.00|        0.00|        0.00
     28.|      5.|    122.|       -4.10|        7.17|        1.65|        0.00|        0.00|        0.00
     28.|      6.|    122.|       -4.10|        7.17|        1.65|        0.00|        0.00|        0.00
     29.|      1.|    249.|      -28.87|       57.54|        1.16|        0.00|        0.00|        0.00
     29.|      2.|    122.|       -4.93|        6.03|        1.65|        0.00|        0.00|        0.00
     29.|      3.|    122.|       -4.93|        6.03|        1.65|        0.00|        0.00|        0.00
     29.|      4.|    122.|       -4.93|        6.03|        1.65|        0.00|        0.00|        0.00
     29.|      5.|    122.|       -4.93|        6.03|        1.65|        0.00|        0.00|        0.00
     29.|      6.|    122.|       -4.93|        6.03|        1.65|        0.00|        0.00|        0.00
     30.|      1.|    249.|      -29.14|       58.08|        1.16|        0.00|        0.00|        0.00
     30.|      2.|    122.|       -5.77|        4.89|        1.65|        0.00|        0.00|        0.00
     30.|      3.|    122.|       -5.77|        4.89|        1.65|        0.00|        0.00|        0.00
     30.|      4.|    122.|       -5.77|        4.89|        1.65|        0.00|        0.00|        0.00
     30.|      5.|    122.|       -5.77|        4.89|        1.65|        0.00|        0.00|        0.00
     30.|      6.|    122.|       -5.77|        4.89|        1.65|        0.00|        0.00|        0.00
     31.|      1.|    249.|      -29.40|       58.61|        1.16|        0.00|        0.00|        0.00
